Date,Business Area,Region,Country,IT Sub Area,IT Area,Cost element name,Cost Element Group,Cost Element Sub Group,Actual,Forecast,Plan,Plan_positive,Spend_status,Actual vs plan variance,Forecast vs plan variance,Actual - Forecast,Month,Month Name
Jan,R&D,Europe,United Kingdom,Planning,BU Support,Other Inbound,Shared Services,Inbound Allocations,,,-5805.03,5805.03,Planned Only,,,0.0,1,Jan
Jan,R&D,Europe,United Kingdom,Planning,BU Support,Other Miscellaneous Expense,Other,Other,61.56,,,,Unplanned Actual,61.56,,61.56,1,Jan
Jan,R&D,Europe,United Kingdom,Planning,BU Support,Other Miscellaneous Expense,Other,Other,,61.56,,,Unplanned Forecast,,61.56,-61.56,1,Jan
Jan,R&D,Europe,United Kingdom,Planning,BU Support,Other Miscellaneous Expense,Other,Other,,,270.01,270.01,Planned Only,,,0.0,1,Jan
Jan,R&D,Europe,United Kingdom,Planning,BU Support,Regular Salaries And Wages,Labor,Internal Labor,,,-10692.07,10692.07,Planned Only,,,0.0,1,Jan
Jan,R&D,Europe,United Kingdom,Planning,BU Support,Travel Expense,Other,Travel,,,-2025.01,2025.01,Planned Only,,,0.0,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Bonuses,Labor,Internal Labor,2693.0,,,,Unplanned Actual,2693.0,,2693.0,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Bonuses,Labor,Internal Labor,,2693.0,,,Unplanned Forecast,,2693.0,-2693.0,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Contractors,Labor,External Labor,,,16125.1,16125.1,Planned Only,,,0.0,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Customer Events,Other,Other,73.93,,,,Unplanned Actual,73.93,,73.93,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Customer Events,Other,Other,,73.93,,,Unplanned Forecast,,73.93,-73.93,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Lease,Other,Vehicles,2.69,,,,Unplanned Actual,2.69,,2.69,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Lease,Other,Vehicles,,2.69,,,Unplanned Forecast,,2.69,-2.69,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Other Miscellaneous Expense,Other,Other,1725.49,,,,Unplanned Actual,1725.49,,1725.49,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Other Miscellaneous Expense,Other,Other,,1725.49,,,Unplanned Forecast,,1725.49,-1725.49,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Payroll Taxes - Salaries,Labor,Internal Labor,5602.0,,,,Unplanned Actual,5602.0,,5602.0,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Payroll Taxes - Salaries,Labor,Internal Labor,,5602.0,,,Unplanned Forecast,,5602.0,-5602.0,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Professional Services,Labor,External Labor,,,3125.02,3125.02,Planned Only,,,0.0,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Regular Salaries And Wages,Labor,Internal Labor,46286.95,,,,Unplanned Actual,46286.95,,46286.95,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Regular Salaries And Wages,Labor,Internal Labor,,46286.95,,,Unplanned Forecast,,46286.95,-46286.95,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Regular Salaries And Wages,Labor,Internal Labor,,,183751.17,183751.17,Planned Only,,,0.0,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Software Maintenance,Hardware & Software,Software Maintenance,,,9166.73,9166.73,Planned Only,,,0.0,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Telephone,Other,Telecomm,66.47,,,,Unplanned Actual,66.47,,66.47,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Telephone,Other,Telecomm,,66.47,,,Unplanned Forecast,,66.47,-66.47,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Travel Expense,Other,Travel,2451.08,,,,Unplanned Actual,2451.08,,2451.08,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Travel Expense,Other,Travel,,2451.08,,,Unplanned Forecast,,2451.08,-2451.08,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Unscheduled Overtime,Labor,Internal Labor,209.41,,,,Unplanned Actual,209.41,,209.41,1,Jan
Jan,Distribution,Europe,United Kingdom,GRC,Governance,Unscheduled Overtime,Labor,Internal Labor,,209.41,,,Unplanned Forecast,,209.41,-209.41,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Adjustments,Labor,Internal Labor,621.78,,,,Unplanned Actual,621.78,,621.78,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Adjustments,Labor,Internal Labor,,621.78,,,Unplanned Forecast,,621.78,-621.78,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Insurance,Labor,Internal Labor,1174.02,,,,Unplanned Actual,1174.02,,1174.02,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Insurance,Labor,Internal Labor,,1174.02,,,Unplanned Forecast,,1174.02,-1174.02,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Lease,Other,Vehicles,874.57,,,,Unplanned Actual,874.57,,874.57,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Lease,Other,Vehicles,,874.57,,,Unplanned Forecast,,874.57,-874.57,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Other ( + Tax ),Labor,Internal Labor,1090.49,,,,Unplanned Actual,1090.49,,1090.49,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Other ( + Tax ),Labor,Internal Labor,,1090.49,,,Unplanned Forecast,,1090.49,-1090.49,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Payroll Taxes - Salaries,Labor,Internal Labor,554.61,,,,Unplanned Actual,554.61,,554.61,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Payroll Taxes - Salaries,Labor,Internal Labor,,554.61,,,Unplanned Forecast,,554.61,-554.61,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Regular Salaries And Wages,Labor,Internal Labor,6769.84,,,,Unplanned Actual,6769.84,,6769.84,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Regular Salaries And Wages,Labor,Internal Labor,,6769.84,,,Unplanned Forecast,,6769.84,-6769.84,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Regular Salaries And Wages,Labor,Internal Labor,,,13408.52,13408.52,Planned Only,,,0.0,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Salaries Deductions - Other,Other,Other,16.96,,,,Unplanned Actual,16.96,,16.96,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Salaries Deductions - Other,Other,Other,,16.96,,,Unplanned Forecast,,16.96,-16.96,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Training,Other,Training,185.92,,,,Unplanned Actual,185.92,,185.92,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Training,Other,Training,,185.92,,,Unplanned Forecast,,185.92,-185.92,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Travel Expense,Other,Travel,4218.3,,,,Unplanned Actual,4218.3,,4218.3,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Travel Expense,Other,Travel,,4218.3,,,Unplanned Forecast,,4218.3,-4218.3,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Vacation,Labor,Internal Labor,596.43,,,,Unplanned Actual,596.43,,596.43,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Vacation,Labor,Internal Labor,,596.43,,,Unplanned Forecast,,596.43,-596.43,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Vehicle Fuel,Other,Vehicles,253.99,,,,Unplanned Actual,253.99,,253.99,1,Jan
Jan,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Vehicle Fuel,Other,Vehicles,,253.99,,,Unplanned Forecast,,253.99,-253.99,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Computer Hardware,Hardware & Software,Hardware,,,150.0,150.0,Planned Only,,,0.0,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Fixed Assets,Depr & Amort,Depreciation,12148.28,,,,Unplanned Actual,12148.28,,12148.28,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Fixed Assets,Depr & Amort,Depreciation,,12148.28,,,Unplanned Forecast,,12148.28,-12148.28,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Fixed Assets,Depr & Amort,Depreciation,,,12148.0,12148.0,Planned Only,,,0.0,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,M&E-Nondeductible,Other,Travel,,,100.0,100.0,Planned Only,,,0.0,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Materials,Other,Supplies,,,50.0,50.0,Planned Only,,,0.0,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Outsourcing,Labor,External Labor,,,13000.0,13000.0,Planned Only,,,0.0,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Professional Services,Labor,External Labor,150910.04,,,,Unplanned Actual,150910.04,,150910.04,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Professional Services,Labor,External Labor,,150910.04,,,Unplanned Forecast,,150910.04,-150910.04,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Professional Services,Labor,External Labor,,,147065.0,147065.0,Planned Only,,,0.0,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Property Taxes,Other,Taxes,3107.48,,,,Unplanned Actual,3107.48,,3107.48,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Property Taxes,Other,Taxes,,3107.48,,,Unplanned Forecast,,3107.48,-3107.48,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Property Taxes,Other,Taxes,,,1977.0,1977.0,Planned Only,,,0.0,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Purchased Software,Hardware & Software,Software,9369.17,,,,Unplanned Actual,9369.17,,9369.17,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Purchased Software,Hardware & Software,Software,,9369.17,,,Unplanned Forecast,,9369.17,-9369.17,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Purchased Software,Hardware & Software,Software,,,9369.0,9369.0,Planned Only,,,0.0,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Software Maintenance,Hardware & Software,Software Maintenance,92047.26,,,,Unplanned Actual,92047.26,,92047.26,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Software Maintenance,Hardware & Software,Software Maintenance,,92047.26,,,Unplanned Forecast,,92047.26,-92047.26,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Software Maintenance,Hardware & Software,Software Maintenance,,,77348.0,77348.0,Planned Only,,,0.0,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Telecom,Other,Telecomm,,,5400.0,5400.0,Planned Only,,,0.0,1,Jan
Jan,Infrastructure,USA,USA,Mobility,Enablement,Travel Expense,Other,Travel,,,500.0,500.0,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Bonuses,Labor,Internal Labor,2353.76,,,,Unplanned Actual,2353.76,,2353.76,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Bonuses,Labor,Internal Labor,,2353.76,,,Unplanned Forecast,,2353.76,-2353.76,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Computer Hardware,Hardware & Software,Hardware,,,4332.0,4332.0,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Computer Rental,Hardware & Software,Hardware,64563.4,,,,Unplanned Actual,64563.4,,64563.4,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Computer Rental,Hardware & Software,Hardware,,64563.4,,,Unplanned Forecast,,64563.4,-64563.4,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Computer Rental,Hardware & Software,Hardware,,,416.67,416.67,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Contractors,Labor,External Labor,14971.0,,,,Unplanned Actual,14971.0,,14971.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Contractors,Labor,External Labor,,14971.0,,,Unplanned Forecast,,14971.0,-14971.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Individual Performance Recognition,Other,Employee Performance,189.85,,,,Unplanned Actual,189.85,,189.85,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Individual Performance Recognition,Other,Employee Performance,,189.85,,,Unplanned Forecast,,189.85,-189.85,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Insurance,Labor,Internal Labor,-15.66,,,,Unplanned Actual,-15.66,,-15.66,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Insurance,Labor,Internal Labor,,-15.66,,,Unplanned Forecast,,-15.66,15.66,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Insurance,Labor,Internal Labor,,,1845.0,1845.0,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Lease,Other,Vehicles,832.3,,,,Unplanned Actual,832.3,,832.3,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Lease,Other,Vehicles,,832.3,,,Unplanned Forecast,,832.3,-832.3,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Lease,Other,Vehicles,,,1000.0,1000.0,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,M&E-Nondeductible,Other,Travel,,,66.67,66.67,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Maintenance and Repairs,Hardware & Software,Hardware Maintenance,,,233.33,233.33,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Materials,Other,Supplies,,,166.67,166.67,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Off Site Events,Other,Recognition,,,50.0,50.0,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Other Bonuses,Labor,Internal Labor,668.22,,,,Unplanned Actual,668.22,,668.22,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Other Bonuses,Labor,Internal Labor,,668.22,,,Unplanned Forecast,,668.22,-668.22,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Other Miscellaneous Expense,Other,Other,99.73,,,,Unplanned Actual,99.73,,99.73,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Other Miscellaneous Expense,Other,Other,,99.73,,,Unplanned Forecast,,99.73,-99.73,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Other Miscellaneous Expense,Other,Other,,,2444.67,2444.67,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Outside Repairs - Cars,Other,Vehicles,59.91,,,,Unplanned Actual,59.91,,59.91,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Outside Repairs - Cars,Other,Vehicles,,59.91,,,Unplanned Forecast,,59.91,-59.91,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Outside Repairs - Cars,Other,Vehicles,,,216.67,216.67,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Payroll Taxes - Salaries,Labor,Internal Labor,2502.68,,,,Unplanned Actual,2502.68,,2502.68,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Payroll Taxes - Salaries,Labor,Internal Labor,,2502.68,,,Unplanned Forecast,,2502.68,-2502.68,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Payroll Taxes - Salaries,Labor,Internal Labor,,,1915.67,1915.67,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Postage,Other,Other,,,16.67,16.67,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Professional Services,Labor,External Labor,,,41084.0,41084.0,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Purchased Software,Hardware & Software,Software,,,4000.0,4000.0,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Regular Salaries And Wages,Labor,Internal Labor,23336.5,,,,Unplanned Actual,23336.5,,23336.5,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Regular Salaries And Wages,Labor,Internal Labor,,23336.5,,,Unplanned Forecast,,23336.5,-23336.5,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Regular Salaries And Wages,Labor,Internal Labor,,,27352.29,27352.29,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Retirement Medical,Labor,Internal Labor,617.0,,,,Unplanned Actual,617.0,,617.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Retirement Medical,Labor,Internal Labor,,617.0,,,Unplanned Forecast,,617.0,-617.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Retirement Medical,Labor,Internal Labor,,,624.12,624.12,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Retirement Plan Match,Labor,Internal Labor,439.0,,,,Unplanned Actual,439.0,,439.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Retirement Plan Match,Labor,Internal Labor,,439.0,,,Unplanned Forecast,,439.0,-439.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Retirement Plan Match,Labor,Internal Labor,,,556.51,556.51,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Savings Plan,Labor,Internal Labor,1295.43,,,,Unplanned Actual,1295.43,,1295.43,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Savings Plan,Labor,Internal Labor,,1295.43,,,Unplanned Forecast,,1295.43,-1295.43,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Savings Plan,Labor,Internal Labor,,,1417.66,1417.66,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Service Contracts,Hardware & Software,Hardware Maintenance,1238.0,,,,Unplanned Actual,1238.0,,1238.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Service Contracts,Hardware & Software,Hardware Maintenance,,1238.0,,,Unplanned Forecast,,1238.0,-1238.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Service Contracts,Hardware & Software,Hardware Maintenance,,,1500.0,1500.0,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Telephone,Other,Telecomm,,,166.67,166.67,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Training,Other,Training,,,500.0,500.0,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Travel Expense,Other,Travel,0.15,,,,Unplanned Actual,0.15,,0.15,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Travel Expense,Other,Travel,,0.15,,,Unplanned Forecast,,0.15,-0.15,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Travel Expense,Other,Travel,,,833.33,833.33,Planned Only,,,0.0,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Workers Comp,Labor,Internal Labor,245.03,,,,Unplanned Actual,245.03,,245.03,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Workers Comp,Labor,Internal Labor,,245.03,,,Unplanned Forecast,,245.03,-245.03,1,Jan
Jan,BU,USA,Puerto Rico,R5,Functional,Workers Comp,Labor,Internal Labor,,,355.58,355.58,Planned Only,,,0.0,1,Jan
Jan,Infrastructure,Europe,United Kingdom,Hosting,Infrastructure,Contractors,Labor,External Labor,2492.48,,,,Unplanned Actual,2492.48,,2492.48,1,Jan
